:START_ID,:END_ID,label:TYPE
0,1,couple
0,2,father-child
1,2,mother-child
2,3,couple
2,4,father-child
3,4,mother-child
4,5,couple
4,6,father-child
5,6,mother-child
4,10,father-child
5,10,mother-child
6,7,couple
6,8,father-child
7,8,mother-child
8,9,father-child
10,11,couple
10,12,father-child
11,12,mother-child
10,14,father-child
11,14,mother-child
10,15,father-child
11,15,mother-child
10,88,father-child
11,88,mother-child
12,13,couple
15,16,couple
15,17,father-child
16,17,mother-child
15,18,father-child
16,18,mother-child
15,19,father-child
16,19,mother-child
15,20,father-child
16,20,mother-child
15,22,father-child
16,22,mother-child
15,23,father-child
16,23,mother-child
15,85,father-child
16,85,mother-child
15,87,father-child
16,87,mother-child
20,21,couple
23,24,couple
23,25,father-child
24,25,mother-child
23,44,father-child
24,44,mother-child
23,80,father-child
24,80,mother-child
25,26,couple
25,27,father-child
26,27,mother-child
25,29,father-child
26,29,mother-child
27,28,couple
29,30,couple
29,31,father-child
30,31,mother-child
29,36,father-child
30,36,mother-child
29,40,father-child
30,40,mother-child
31,32,couple
31,33,father-child
32,33,mother-child
31,34,father-child
32,34,mother-child
31,35,father-child
32,35,mother-child
36,37,couple
36,38,father-child
37,38,mother-child
36,39,father-child
37,39,mother-child
40,41,couple
40,42,father-child
41,42,mother-child
40,43,father-child
41,43,mother-child
44,45,couple
44,46,father-child
45,46,mother-child
44,50,father-child
45,50,mother-child
44,58,father-child
45,58,mother-child
44,60,father-child
45,60,mother-child
44,78,father-child
45,78,mother-child
46,47,couple
46,48,couple
46,49,father-child
47,49,mother-child
50,51,couple
50,52,father-child
51,52,mother-child
50,57,father-child
51,57,mother-child
52,53,couple
52,54,father-child
53,54,mother-child
52,55,father-child
53,55,mother-child
52,56,father-child
53,56,mother-child
58,59,couple
60,61,couple
60,62,couple
60,63,couple
60,64,father-child
61,64,mother-child
60,71,father-child
61,71,mother-child
60,73,father-child
61,73,mother-child
60,76,father-child
62,76,mother-child
60,77,father-child
63,77,mother-child
64,65,couple
64,66,father-child
65,66,mother-child
64,67,father-child
65,67,mother-child
64,68,father-child
65,68,mother-child
64,69,father-child
65,69,mother-child
64,70,father-child
65,70,mother-child
71,72,couple
73,74,couple
73,75,father-child
74,75,mother-child
78,79,couple
80,81,couple
80,82,father-child
81,82,mother-child
80,83,father-child
81,83,mother-child
80,84,father-child
81,84,mother-child
85,86,couple
88,89,couple
60,91,拥有
90,93,设立
90,94,设立
90,95,设立
90,111,设立
90,187,设立
90,188,设立
90,189,设立
60,93,担任
95,96,设立
95,97,设立
95,98,设立
95,99,设立
95,100,设立
95,101,设立
95,102,设立
95,103,设立
95,104,设立
95,105,设立
95,106,设立
95,107,设立
95,108,设立
95,109,设立
95,110,设立
111,93,负责
111,112,设立
111,113,设立
111,114,设立
111,115,设立
111,116,设立
111,117,设立
111,118,设立
111,119,设立
111,120,设立
111,121,设立
111,122,设立
111,123,设立
111,124,设立
111,125,设立
111,126,设立
111,127,设立
111,128,设立
111,129,设立
111,130,设立
111,131,设立
111,132,设立
111,133,设立
111,134,设立
111,135,设立
111,136,设立
111,137,设立
111,138,设立
111,139,设立
111,140,设立
111,141,设立
111,142,设立
111,143,设立
111,144,设立
145,94,担任
146,98,担任部长
147,110,担任部长
148,187,担任
150,112,担任局长
151,188,担任
152,97,担任部长
153,102,担任部长
154,137,担任主任
155,139,担任主任
156,189,担任主席
157,139,代表
158,99,担任部长
159,100,担任部长
160,103,担任部长
161,107,担任部长
162,105,担任部长
163,106,担任部长
164,107,担任部长
165,108,担任部长
166,114,担任局长
167,136,担任局长
168,134,担任主任
170,60,高级顾问
155,172,出版
155,173,出版
155,174,出版
155,175,出版
155,176,出版
155,177,出版
163,178,出生于
179,180,设立
181,180,担任
181,163,father-child
163,182,couple
189,183,包括
189,184,包括
189,185,包括
189,186,包括
