id:ID,label:LABEL,label,name,life
0,male,male,Johann Philipp Trump,1667-1707
1,female,female,Juliana Maria Rodenroth,
2,male,male,Johann Sebastian Trump,1699–1756
3,female,female,Susanna Margaretha Kohl,
4,male,male,Johann Paul Trump,1727–1792
5,female,female,Maria Elisabetha Setzer,
6,male,male,Charlotte Louisa Trump,1789–1833
7,female,female,Johann Georg Heinz,
8,male,male,John Henry Heinz,1811–1891
9,male,male,Henry J. Heinz,1844–1919
10,male,male,Johannes Trump,1789–1835
11,female,female,Susanna Maria Bechtloff,
12,male,male,Friedrich Trump,?-1876
13,female,female,Elisabetha Trump,
14,male,male,Maria Katharina Trump,1827-?
15,male,male,Christian Johannes Trump,1829–1877
16,female,female,Katharina Kober,1836–1922
17,male,male,Johannes Trump,1860-?
18,male,male,Katharina Trump,1861-?
19,male,male,Jakob Trump,1863-?
20,male,male,Sybilla Luisa Trump,1865–1931
21,female,female,Schuster,
22,male,male,Konrad Trump,1868–1868
23,male,male,Friedrich Trump,1869–1918
24,female,female,Elisabeth Christ,
25,male,male,Elizabeth/Elisabeth Trump,1904–1961
26,female,female,William O. Walter,
27,male,male,William Trump Walter,1931-?
28,female,female,Susan Walter,
29,male,male,John W. Walter,1934-?
30,female,female,Joan Walter,
31,male,male,Christine/Christy Weppler,
32,female,female,Robert/Bob Weppler,
33,male,male,Catherine Weppler,
34,male,male,Sarah Weppler,
35,male,male,Lauren Weppler,
36,male,male,Nancy Kiley,
37,female,female,James/Jim Kiley,
38,male,male,Emily Kiley,
39,male,male,Matthew Kiley,
40,male,male,Cynthia/Cindy Frey,
41,female,female,Rod Frey,
42,male,male,Connor Frey,
43,male,male,Aidan Frey,
44,male,male,Frederick Christ Trump,1905–1999
45,female,female,Mary MacLeod,1912–2000
46,female,female,Maryanne Trump,1937-?
47,male,male,David Desmond,
48,male,male,John Barry,
49,male,male,David William Desmond,1960-?
50,male,male,"Frederick Christ Trump, Jr.",1938–1981
51,female,female,Linda Clapp,
52,male,male,Frederick Christ Trump III,1963-?
53,female,female,Lisa Beth Lorant,
54,male,male,daughter,1992-?
55,male,male,son,1994-?
56,male,male,William Trump,1999-?
57,male,male,Mary Trump,
58,male,male,Elizabeth Joan Trump,
59,female,female,James Walter Grau,
60,Donald-John-Trump,Donald-John-Trump,Donald John Trump,1946-?
61,female,female,Ivana Zelníčková,
62,female,female,Marla Maples,
63,female,female,Melania Knauss,1970-?
64,male,male,Donald Trump Jr.,1977-?
65,female,female,Vanessa Haydon,
66,female,female,Kai Madison Trump,2007-?
67,male,male,Donald John Trump III,2009-?
68,male,male,Tristan Milos Trump,2012-?
69,male,male,Spencer Frederick Trump,2013-?
70,female,female,Chloe Sophia Trump,2014-?
71,Ivanka-Trump,Ivanka-Trump,Ivanka Trump,1981-?
72,male,male,Jared Kushner,
73,male,male,Eric Trump,1984-?
74,female,female,Lara Yunaska,
75,male,male,Eric Luke Trump,2017-?
76,male,male,Tiffany Trump,1993-?
77,male,male,Barron Trump,2006-?
78,male,male,Robert Trump,
79,female,female,Blaine Beard,
80,male,male,John George Trump,1907-1985
81,female,female,Elora Sauerbrun,1913-1983
82,male,male,John Gordon Trump,1938-2012
83,male,male,Christine Trump Philp,
84,male,male,Karen Trump Ingraham,
85,male,male,Elisabetha Trump,1837-?
86,female,female,Karl Freund,
87,male,male,Barbara Trump,1876-?
88,male,male,Anna Elisabetha Trump,1831-?
89,female,female,Konrad Schwinn,
90,us,us,United States of America,
91,twitter,twitter,Twitter,
92,germany,germany,Germany,
93,职位,职位,美国总统,
94,职位,职位,美国副总统,
95,机构,机构,美国联邦,
96,机构,机构,美国国务院,
97,机构,机构,美国财政部,
98,机构,机构,美国国防部,
99,机构,机构,美国司法部,
100,机构,机构,美国内政部,
101,机构,机构,美国农业部,
102,机构,机构,美国商务部,
103,机构,机构,美国劳工部,
104,机构,机构,美国卫生及公共服务部,
105,机构,机构,美国住房与城市发展部,
106,机构,机构,美国交通部,
107,机构,机构,美国能源部,
108,机构,机构,美国教育部,
109,机构,机构,美国退伍军人事务部,
110,机构,机构,美国国土安全部,
111,机构,机构,联邦政府独立行政机构,
112,机构,机构,美国中央情报局,
113,机构,机构,美国期货交易管理委员会,
114,机构,机构,美国国家环境保护局,
115,机构,机构,联邦通讯管理委员会,
116,机构,机构,美国联邦储备理事会,
117,机构,机构,联邦贸易管理委员会,
118,机构,机构,美国总务署,
119,机构,机构,美国国家航空航天局,
120,机构,机构,国家档案记录署,
121,机构,机构,国家劳工关系委员会,
122,机构,机构,国家科学基金,
123,机构,机构,人事管理处,
124,机构,机构,和平工作队,
125,机构,机构,小型企业总署,
126,机构,机构,社会保障总署,
127,机构,机构,证券交易监管委员会,
128,机构,机构,美国国际发展局,
129,机构,机构,美国国际贸易委员会,
130,机构,机构,美国邮政,
131,机构,机构,美国邮政价格委员会,
132,机构,机构,美国国家运输安全委员会,
133,机构,机构,美国总统办事机构,
134,机构,机构,白宫办公厅,
135,机构,机构,副总统办公室,
136,机构,机构,行政管理和预算局,
137,机构,机构,总统经济顾问委员会,
138,机构,机构,国家安全委员会,
139,机构,机构,美国贸易代表办公室,
140,机构,机构,政策制定办公室,
141,机构,机构,科学和技术政策办公室,
142,机构,机构,改善环境质量委员会,
143,机构,机构,国家麻醉品控制政策办公室,
144,机构,机构,白宫行政办公室,
145,Mike-Pence,Mike-Pence,迈克·彭斯,1956.6.7-?
146,default,default,詹姆斯·马蒂斯,1950.9.8-?
147,约翰·凯利,约翰·凯利,约翰·凯利,
148,妮基·黑利,妮基·黑利,妮基·黑利,
149,迈克尔·弗林,迈克尔·弗林,迈克尔·弗林,
150,迈克·蓬佩奥,迈克·蓬佩奥,迈克·蓬佩奥,
151,特里·布兰斯塔德,特里·布兰斯塔德,特里·布兰斯塔德,
152,斯蒂芬·努钦,斯蒂芬·努钦,斯蒂芬·努钦,
153,威尔伯·罗斯,威尔伯·罗斯,威尔伯·罗斯,
154,加里·柯恩,加里·柯恩,加里·柯恩,
155,彼得·纳瓦罗,彼得·纳瓦罗,彼得·纳瓦罗,
156,苏世民,苏世民,苏世民,
157,罗伯特·莱特希泽,罗伯特·莱特希泽,罗伯特·莱特希泽,
158,杰夫·塞申斯,杰夫·塞申斯,杰夫·塞申斯,
159,瑞安·金克,瑞安·金克,瑞安·金克,
160,安德鲁·普兹徳,安德鲁·普兹徳,安德鲁·普兹徳,
161,汤姆·普莱斯,汤姆·普莱斯,汤姆·普莱斯,
162,长本·卡森,长本·卡森,长本·卡森,
163,赵小兰,赵小兰,赵小兰,
164,里克·佩里,里克·佩里,里克·佩里,
165,贝特西·德沃斯,贝特西·德沃斯,贝特西·德沃斯,
166,斯哥特·普鲁特,斯哥特·普鲁特,斯哥特·普鲁特,
167,米克·马瓦尼,米克·马瓦尼,米克·马瓦尼,
168,雷恩斯·普里巴斯,雷恩斯·普里巴斯,雷恩斯·普里巴斯,
169,斯蒂芬·班农,斯蒂芬·班农,斯蒂芬·班农,
170,凯莉安·康威,凯莉安·康威,凯莉安·康威,
171,肖恩·斯派塞,肖恩·斯派塞,肖恩·斯派塞,
172,著作,著作,即将到来的中国战争,
173,著作,著作,被中国害死,
174,著作,著作,卧虎：中国军事主义对世界意味着什么,
175,著作,著作,未来与中国战争在哪里打，如何赢,
176,著作,著作,中国制造，终极警告标签,
177,著作,著作,新黑暗心脏：第三世界中中华帝国智库,
178,中国台湾,中国台湾,中国台湾,
179,机构,机构,福茂集团,
180,职位,职位,福茂集团董事长,
181,male,male,赵锡成,
182,Addison-Mitchell-Mitch-McConnell-Jr.,Addison-Mitchell-Mitch-McConnell-Jr.,米奇·麦康奈尔,
183,公司,公司,通用电气,
184,公司,公司,通用汽车,
185,公司,公司,迪士尼,
186,公司,公司,IBM,
187,职位,职位,驻联合国代表,
188,职位,职位,驻华大使,
189,机构,机构,企业顾问委员会,
